ChargerId,PlugId,MaxPower
AGN-00007,PT*GLP*EAGN*00007*03,43000
AGN-90001,PT*HRZ*E*AGN*90001*01,22000
AGN-90001,PT*HRZ*E*AGN*90001*02,22000
AJT-00001,PT*GLG*EAJT*00001*02,50000
AJT-00001,PT*GLG*EAJT*00001*03,43000
AJT-00002,PT*GLG*EAJT*00002*02,50000
AJT-00002,PT*GLG*EAJT*00002*03,43000
AJT-00011,PT*ATL*EAJT*00011*2,60000
AJT-00011,PT*ATL*EAJT*00011*3,22000
AJT-00019,PT*GLP*EAJT*00019*01,200000
AJT-00019,PT*GLP*EAJT*00019*02,200000
AJT-00020,PT*GLP*EAJT*00020*01,200000
AJT-00020,PT*GLP*EAJT*00020*02,200000
AJT-00021,PT*GLP*EAJT*00021*01,200000
AJT-00021,PT*GLP*EAJT*00021*02,200000
AJT-00022,PT*GLP*EAJT*00022*01,200000
AJT-00022,PT*GLP*EAJT*00022*02,200000
AJT-90004,PT*HRZ*E*AJT*90004*1,22000
AJT-90004,PT*HRZ*E*AJT*90004*2,22000
AJZ-00004,PT*KLS*E*AJZ*00004*01,22000
AJZ-00004,PT*KLS*E*AJZ*00004*02,22000
AJZ-00005,PT*EDP*E*AJZ*00005*01,7400
AJZ-00005,PT*EDP*E*AJZ*00005*02,7400
AJZ-00006,PT*IBD*E*AJZ*00006*01,22000
AJZ-00006,PT*IBD*E*AJZ*00006*02,22000
AJZ-00007,PT*GLP*EAJZ*00007*01,22000
AJZ-00007,PT*GLP*EAJZ*00007*02,22000
AJZ-90001,PT*EDP*E*AJZ*90001*01,22000
AJZ-90001,PT*EDP*E*AJZ*90001*02,22000
ALB-00003,PT*HLX*E*ALB*00003*01,22000
ALB-00003,PT*HLX*E*ALB*00003*02,22000
ALB-00004,PT*HRZ*E*ALB*00004*02,50000
ALB-00004,PT*HRZ*E*ALB*00004*03,43000
